Track,mi,menv,z,y,yc,mass,radius,age,teff,logg,luminosity,chisq,total_merit,fa,f8,f15,f18,f22,f27,f28,f31,f34,f37
logs_mi1.05_z0.005_lvl1/logs_mi1.05_menv0.0001_rot0.0_z0.005_y0.2565_fh0.0_fhe0.0_fsh0.0_mlt1.8_sc0.1_reimers0.0_blocker0.0_turbulence0.0_lvl1_11860,1.05,0.0001,0.005,0.2565,0.85,0.478707,0.106605,6725517448.317118,35.690618,6.062406,16.567319,1273.0,19.157542,227.0452826586795,30.306197987884158,2060.8308200439046,3014.368963178543,4095.464756821934,8836.910970891267,7847.635844142584,6584.738949011911,2587.173449139012,1416.6660999905325
logs_mi1.05_z0.005_lvl1/logs_mi1.05_menv0.0001_rot0.0_z0.005_y0.2565_fh0.0_fhe0.0_fsh0.0_mlt1.8_sc0.1_reimers0.0_blocker0.0_turbulence0.0_lvl1_11860,1.05,0.0001,0.005,0.2565,0.8,0.478707,0.108031,6730877448.317118,35.683176,6.050859,16.999507,1266.923,18.777334,5781.889431786103,11071.58434871581,6714.276648804127,6958.846218399787,4078.881736090145,0.665419986927437,0.6512863275368629,2.8129537474558135,213.4850123267191,435.73392847107226
logs_mi1.05_z0.005_lvl1/logs_mi1.05_menv0.0001_rot0.0_z0.005_y0.2565_fh0.0_fhe0.0_fsh0.0_mlt1.8_sc0.1_reimers0.0_blocker0.0_turbulence0.0_lvl1_11860,1.05,0.0001,0.005,0.2565,0.9,0.478707,0.105308,6720857448.317118,35.692759,6.073039,16.170474,1277.785,22.892582,8073.293833231288,12344.988889989861,2367.2479694564536,1028.4401470774212,234.73812605688468,1555.9334359396362,3311.079351302655,7266.175357449363,9912.842333836057,6312.2910980660845
logs_mi1.05_z0.005_lvl1/logs_mi1.05_menv0.0004_rot0.0_z0.005_y0.2565_fh0.0_fhe0.0_fsh0.0_mlt1.8_sc0.1_reimers0.0_blocker0.0_turbulence0.0_lvl1_11860,1.05,0.0004,0.005,0.2565,0.15,0.479007,0.162809,6820954422.229132,32.505403,5.694872,26.586668,645.616,26.317822,467.845124902599,2433.0293930898383,6349.030872097988,4498.431537782483,8398.024174043927,15869.616364070067,10270.882035210314,1743.3977034543834,2305.847862666769,16926.672730884307
logs_mi1.05_z0.005_lvl1/logs_mi1.05_menv0.0004_rot0.0_z0.005_y0.2565_fh0.0_fhe0.0_fsh0.0_mlt1.8_sc0.1_reimers0.0_blocker0.0_turbulence0.0_lvl1_11860,1.05,0.0004,0.005,0.2565,0.1,0.479007,0.162279,6828134422.229132,32.93916,5.697705,27.85212,706.881,27.738491,9619.939323479448,13619.218138484484,17536.114255204455,6949.136509884426,7854.827572181232,493.63507201318197,853.790538532486,459.258987774472,192.26210016693784,19364.206604085397
logs_mi1.05_z0.005_lvl1/logs_mi1.05_menv0.0004_rot0.0_z0.005_y0.2565_fh0.0_fhe0.0_fsh0.0_mlt1.8_sc0.1_reimers0.0_blocker0.0_turbulence0.0_lvl1_11860,1.05,0.0004,0.005,0.2565,0.25,0.479007,0.160312,6806374422.229132,32.061652,5.708299,24.398233,589.461,22.901175,27.544866326175512,3839.731684159163,8469.274424243667,11712.821830944957,6531.76923820101,12842.47121166475,7809.248760256193,890.9249728166079,58.76838485227997,263.82410852333624
logs_mi1.05_z0.005_lvl1/logs_mi1.05_menv0.0004_rot0.0_z0.005_y0.2565_fh0.0_fhe0.0_fsh0.0_mlt1.8_sc0.1_reimers0.0_blocker0.0_turbulence0.0_lvl1_11860,1.05,0.0004,0.005,0.2565,0.2,0.479007,0.161947,6813794422.229132,32.23868,5.699485,25.452945,610.742,23.836854,2205.3181175708983,814.2426837112819,5377.330210191258,7106.768936541559,6156.115495236141,11155.537174463134,9159.369156951421,1591.0902139441462,941.846871107231,12311.942025020591
logs_mi1.05_z0.005_lvl1/logs_mi1.05_menv0.0004_rot0.0_z0.005_y0.2565_fh0.0_fhe0.0_fsh0.0_mlt1.8_sc0.1_reimers0.0_blocker0.0_turbulence0.0_lvl1_11860,1.05,0.0004,0.005,0.2565,0.35,0.479007,0.1562,6792974422.229132,31.851086,5.730868,22.560155,567.592,28.872204,1269.2048258334326,8045.978651213285,20475.91508139518,6397.1110837763,2748.3354044382027,9353.740299834964,916.4729206653363,989.9220620016822,9452.96430696725,23710.77339940926
logs_mi1.05_z0.005_lvl1/logs_mi1.05_menv0.0004_rot0.0_z0.005_y0.2565_fh0.0_fhe0.0_fsh0.0_mlt1.8_sc0.1_reimers0.0_blocker0.0_turbulence0.0_lvl1_11860,1.05,0.0004,0.005,0.2565,0.3,0.479007,0.158352,6799674422.229132,31.937394,5.718987,23.438233,575.845,28.517711,2174.6139300423856,12649.553006117985,13336.305885834654,3071.034809231101,8190.0969580127585,18593.016584341767,4450.905215144671,18.613552758485906,10.384200721029062,18831.460433549895
logs_mi1.05_z0.005_lvl1/logs_mi1.05_menv0.0004_rot0.0_z0.005_y0.2565_fh0.0_fhe0.0_fsh0.0_mlt1.8_sc0.1_reimers0.0_blocker0.0_turbulence0.0_lvl1_11860,1.05,0.0004,0.005,0.2565,0.45,0.479007,0.151532,6778854422.229132,31.75722,5.757225,20.982566,562.085,28.660263,3475.1442959147666,6682.79175132296,7.474416387300727,2431.67745656908,5686.191054404216,200.99371039951177,10217.758821969417,20759.85600160245,25897.398861654092,6781.78214243312
